n_estimators,f1_score,accuracy_score,precision_score,recall_score
10,0.8527350428671764,0.8538205980066446,0.8523103734141675,0.8538205980066446
20,0.8698996048349947,0.8704318936877077,0.8695838704290301,0.8704318936877077
30,0.8794285634209464,0.879734219269103,0.8792095008348544,0.879734219269103
40,0.8843048372821486,0.8843853820598007,0.8842683853431367,0.8843853820598007
50,0.8884518192101656,0.8883720930232558,0.8885494615787478,0.8883720930232558
60,0.887727831969042,0.8877076411960133,0.8877491408826885,0.8877076411960133
70,0.8857224158651079,0.8857142857142857,0.8857742800140114,0.8857142857142857
80,0.8856301359843279,0.8857142857142857,0.8855718939294521,0.8857142857142857
90,0.8877304626647684,0.8877076411960133,0.8878096823858062,0.8877076411960133
100,0.8831332326873204,0.8830564784053156,0.8833171521854459,0.8830564784053156
110,0.8825955620358693,0.8823920265780731,0.8829746214115343,0.8823920265780731
120,0.8838807140801602,0.8837209302325582,0.8841805614503867,0.8837209302325582
130,0.8858583359182118,0.8857142857142857,0.8861192129170586,0.8857142857142857
140,0.8871279118336601,0.8870431893687708,0.8873204491417708,0.8870431893687708
150,0.8837171670350148,0.8837209302325582,0.8837358352002541,0.8837209302325582
160,0.8812392573455986,0.881063122923588,0.8815394074654707,0.881063122923588
170,0.8831785248628484,0.8830564784053156,0.8834336368342349,0.8830564784053156
180,0.8838170292095755,0.8837209302325582,0.8840419589699022,0.8837209302325582
190,0.884509467755678,0.8843853820598007,0.884766904704334,0.8843853820598007
200,0.8838170292095755,0.8837209302325582,0.8840419589699022,0.8837209302325582
